PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,FROM_YEAR,DRAFT_YEAR
1630173,Precious Achiuwa,1999-09-19,Memphis,Nigeria,6-8,225,1,5,Forward,2020,2020
203500,Steven Adams,1993-07-20,Pittsburgh,New Zealand,6-11,265,8,4,Center,2013,2013
1628389,Bam Adebayo,1997-07-18,Kentucky,USA,6-9,255,4,13,Center-Forward,2017,2017
1630583,Santi Aldama,2001-01-10,Loyola-Maryland,Spain,6-11,215,0,7,Forward-Center,2021,2021
200746,LaMarcus Aldridge,1985-07-19,Texas-Austin,USA,6-11,250,15,21,Center-Forward,2006,2006
1629638,Nickeil Alexander-Walker,1998-09-02,Virginia Tech,Canada,6-5,205,2,6,Guard,2019,2019
1628960,Grayson Allen,1995-10-08,Duke,USA,6-4,198,3,7,Guard,2018,2018
1628386,Jarrett Allen,1998-04-21,Texas-Austin,USA,6-10,243,4,31,Center,2017,2017
1630247,Derrick Alston Jr.,1997-09-17,Boise State,USA,,,0,,,,Undrafted
1630631,Jose Alvarado,1998-04-12,Georgia Tech,USA,6-0,179,0,15,Guard,2021,Undrafted
202329,Al-Farouq Aminu,1990-09-21,Wake Forest,USA,6-8,220,12,5,Forward,2010,2010
203937,Kyle Anderson,1993-09-20,UCLA,USA,6-9,230,7,1,Forward-Guard,2014,2014
203507,Giannis Antetokounmpo,1994-12-06,Filathlitikos,Greece,6-11,242,8,34,Forward,2013,2013
203648,Thanasis Antetokounmpo,1992-07-18,Panathinaikos,Greece,6-6,219,3,43,Forward,2015,2014
2546,Carmelo Anthony,1984-05-29,Syracuse,USA,6-7,238,18,7,Forward,2003,2003
1630175,Cole Anthony,2000-05-15,North Carolina,USA,6-3,185,1,50,Guard,2020,2020
1628384,OG Anunoby,1997-07-17,Indiana,United Kingdom,6-7,232,4,3,Forward,2017,2017
1627853,Ryan Arcidiacono,1994-03-26,Villanova,USA,6-3,195,4,51,Guard,2017,Undrafted
2772,Trevor Ariza,1985-06-30,UCLA,USA,6-8,215,17,,Forward,2004,2004
201571,D.J. Augustin,1987-11-10,Texas-Austin,USA,5-11,183,13,4,Guard,2008,2008
1630166,Deni Avdija,2001-01-03,Maccabi Tel Aviv,Israel,6-9,210,1,9,Forward,2020,2020
1630555,Joel Ayayi,2000-03-05,Gonzaga,France,6-4,180,0,,Guard,2021,Undrafted
1629028,Deandre Ayton,1998-07-23,Arizona,Bahamas,6-11,250,3,22,Center,2018,2018
1628962,Udoka Azubuike,1999-09-17,Kansas,Nigeria,7-0,270,1,20,Center-Forward,2020,2020
1628407,Dwayne Bacon,1995-08-30,Florida State,USA,6-6,221,5,8,Guard-Forward,2017,2017
1628963,Marvin Bagley III,1999-03-14,Duke,USA,6-11,235,3,35,Forward,2018,2018
1630163,LaMelo Ball,2001-08-22,Illawarra,USA,6-7,180,1,2,Guard,2020,2020
1628366,Lonzo Ball,1997-10-27,UCLA,USA,6-6,190,4,2,Guard,2017,2017
1630642,Mitch Ballock,1998-07-02,Creighton,USA,,,0,,,,Undrafted
1628964,Mo Bamba,1998-05-12,Texas-Austin,USA,7-0,231,3,5,Center,2018,2018
1630217,Desmond Bane,1998-06-25,TCU,USA,6-5,215,1,22,Guard,2020,2020
1630625,Dalano Banton,1999-11-07,Nebraska,Canada,6-7,204,0,45,Forward,2021,2021
203084,Harrison Barnes,1992-05-30,North Carolina,USA,6-8,225,9,40,Forward,2012,2012
1630567,Scottie Barnes,2001-08-01,Florida State,USA,6-7,225,0,4,Forward,2021,2021
1629628,RJ Barrett,2000-06-14,Duke,Canada,6-6,214,2,9,Forward-Guard,2019,2019
203115,Will Barton,1991-01-06,Memphis,USA,6-5,181,9,5,Guard,2012,2012
1629646,Charles Bassey,2000-10-28,Western Kentucky,Nigeria,6-9,230,0,23,Center-Forward,2021,2021
1628966,Keita Bates-Diop,1996-01-23,Ohio State,USA,6-8,229,3,31,Forward,2018,2018
201587,Nicolas Batum,1988-12-14,Le Mans,France,6-8,230,13,33,Guard-Forward,2008,2008
203145,Kent Bazemore,1989-07-01,Old Dominion,USA,6-4,195,9,9,Guard-Forward,2012,Undrafted
1629647,Darius Bazley,2000-06-12,Princeton HS (OH),USA,6-8,208,2,7,Forward,2019,2019
203078,Bradley Beal,1993-06-28,Florida,USA,6-4,207,9,3,Guard,2012,2012
1627736,Malik Beasley,1996-11-26,Florida State,USA,6-4,187,5,5,Guard,2016,2016
1628395,Jordan Bell,1995-01-07,Oregon,USA,6-7,216,4,,Forward,2017,2017
1627761,DeAndre' Bembry,1994-07-04,St. Joseph's (PA),USA,6-5,210,5,,Guard-Forward,2016,2016
202722,Davis Bertans,1992-11-12,Baskonia,Latvia,6-10,225,5,44,Forward,2016,2011
201976,Patrick Beverley,1988-07-12,Arkansas,USA,6-1,180,9,22,Guard,2012,2009
1630180,Saddiq Bey,1999-04-09,Villanova,USA,6-7,215,1,41,Forward,2020,2020
1630189,Tyler Bey,1998-02-10,Colorado,USA,6-7,215,2,2,Forward,2020,2020
203920,Khem Birch,1992-09-28,UNLV,Canada,6-9,233,4,24,Center,2017,Undrafted
1629048,Goga Bitadze,1999-07-20,Mega Basket,Georgia,7-0,250,2,88,Center-Forward,2019,2019
202357,Nemanja Bjelica,1988-05-09,Fenerbahce,Serbia,6-9,234,6,8,Forward,2015,2010
204028,Tarik Black,1991-11-22,Kansas,USA,6-9,250,5,28,Forward-Center,2014,Undrafted
202339,Eric Bledsoe,1989-12-09,Kentucky,USA,6-1,214,11,5,Guard,2010,2010
1629833,Keljin Blevins,1995-11-24,Montana State,USA,6-4,200,1,21,Guard,2020,2019
203992,Bogdan Bogdanovic,1992-08-18,Fenerbahce,Serbia,6-6,225,4,13,Guard,2017,2014
202711,Bojan Bogdanovic,1989-04-18,Fenerbahce,Croatia,6-7,226,7,44,Forward,2014,2011
1629626,Bol Bol,1999-11-16,Oregon,Sudan,7-2,220,2,10,Center-Forward,2019,2019
1629716,Marques Bolden,1998-04-17,Duke,USA,6-10,249,3,,Center,2019,2019
1630195,Leandro Bolmaro,2000-09-11,FC Barcelona,Argentina,6-6,200,0,9,Forward,2021,2020
1629067,Isaac Bonga,1999-11-08,Skyliners Frankfurt,Germany,6-8,180,3,17,Guard,2018,2018
1626164,Devin Booker,1996-10-30,Kentucky,USA,6-5,206,6,1,Guard,2015,2015
1630527,Brandon Boston Jr.,2001-11-28,Kentucky,USA,6-6,188,0,4,Guard,2021,2021
1628449,Chris Boucher,1993-01-11,Oregon,Saint Lucia,6-9,200,4,25,Forward-Center,2017,Undrafted
1630547,James Bouknight,2000-09-18,Connecticut,USA,6-4,190,0,5,Guard,2021,2021
1628968,Brian Bowen II,1998-10-02,                                   ,USA,6-6,190,3,,Forward-Guard,2019,Undrafted
202340,Avery Bradley,1990-11-26,Texas-Austin,USA,6-3,180,11,20,Guard,2010,2010
1628396,Tony Bradley,1998-01-08,North Carolina,USA,6-10,248,4,13,Center-Forward,2017,2017
1629649,Ignas Brazdeikis,1999-01-08,Michigan,Canada,6-6,221,2,17,Forward,2019,2019
1628969,Mikal Bridges,1996-08-30,Villanova,USA,6-6,209,3,25,Forward,2018,2018
1628970,Miles Bridges,1998-03-21,Michigan State,USA,6-7,225,3,0,Forward,2018,2018
1629052,Oshae Brissett,1998-06-20,Syracuse,Canada,6-7,210,2,12,Forward-Guard,2019,Undrafted
1627763,Malcolm Brogdon,1992-12-11,Virginia,USA,6-5,229,5,7,Guard,2016,2016
1629717,Armoni Brooks,1998-06-05,Houston,USA,6-3,195,1,1,Guard,2020,2019
1628415,Dillon Brooks,1996-01-22,Oregon,Canada,6-7,225,4,24,Guard-Forward,2017,2017
1628971,Bruce Brown,1996-08-15,Miami,USA,6-4,202,3,1,Guard-Forward,2018,2018
1630602,Chaundee Brown Jr.,1998-12-04,Michigan,USA,6-5,215,0,38,Forward,2021,Undrafted
1627759,Jaylen Brown,1996-10-24,California,USA,6-6,223,5,7,Guard-Forward,2016,2016
1629650,Moses Brown,1999-10-13,UCLA,USA,7-2,245,2,6,Center,2019,Undrafted
1628425,Sterling Brown,1995-02-10,Southern Methodist,USA,6-5,219,4,0,Guard-Forward,2017,2017
